Unique ID,Title,Category,Source,Owner,Status,Url
1,Homepage,Homepage,Sylvia,Sylvia,Needs editing,/index.html
2,Chemicals in shampoo,Why Go Natural,http://en.wikipedia.org/wiki/Sodium_sulfate,Sylvia,Needs editing,/why/chemicals-shampoo
3,Chemicals in deoderant,Why Go Natural,http://en.wikipedia.org/wiki/Deodorant,Sylvia,Needs editing,/why/chemicals-deoderant
4,Homemade shampoo,Hair recipes,http://www.onegoodthingbyjillee.com/2013/08/make-your-own-coconut-milk-and-coconut-milk-shampoo.html,Sylvia,Needs editing,/hair-recipes/shampoo1
5,Dealing with dandruff,Hair recipes,http://www.wikihow.com/Get-Rid-of-Dandruff-(Natural-Methods),Sylvia,Needs editing,/hair-recipes/dandruff
6,Homemade conditioner,Hair recipes,http://www.wikihow.com/Make-Your-Own-Hair-Conditioner,Sylvia,Needs editing,/hair-recipes/conditioner
7,Homemade makeup remover,Face recipes,http://www.onegoodthingbyjillee.com/2013/06/a-simple-homemade-eye-cream-make-up-remover.html,Sylvia,Needs editing,/face-recipes/makeupremover
8,Homemade facial toner,Face recipes,http://www.wikihow.com/Make-a-Skin-Toner,Sylvia,Needs editing,/face-recipes/toner
9,Oil cleansing method,Face recipes,http://en.wikipedia.org/wiki/Oil_cleansing_method,Sylvia,Needs editing,/face-recipes/oil-cleansing
10,Homemade deoderant,Body recipes,http://www.wikihow.com/Make-Stick-Deodorant,Sylvia,Needs editing,/body-recipes/deoderant
11,Homemade body lotion,Body recipes,http://www.wikihow.com/Make-Your-Own-Body-Lotion,Sylvia,Needs editing,/body-recipes/lotion
12,Healing salve,Body recipes,http://www.onegoodthingbyjillee.com/2013/05/diy-all-purpose-healing-salve.html,Sylvia,Needs editing,/body-recipes/salve
13,Tea tree oil,Tools,http://en.wikipedia.org/wiki/Tea_tree_oil,Sylvia,Needs editing,/tools/oils/essential-oils/tea-tree-oil
14,Lavender oil,Tools,http://en.wikipedia.org/wiki/Lavender_oil,Sylvia,Needs editing,/tools/oils/essential-oils/lavender-oil
15,Jojoba oil,Tools,http://en.wikipedia.org/wiki/Jojoba_oil,Sylvia,Needs editing,/tools/oils/carrier-oils/jojoba-oil
16,Uses for Honey,Tools,http://www.onegoodthingbyjillee.com/2013/04/3-homemade-skin-care-recipes-featuring-honey.html,Sylvia,Needs editing,/tools/other/honey
17,Uses for Aloe Vera,Tools,http://www.onegoodthingbyjillee.com/2012/10/the-many-benefits-of-aloe-vera-the-medicine-plant.html,Sylvia,Needs editing,/tools/other/aloe-vera
18,Coconut Oil,Tools,http://www.wikihow.com/Use-Coconut-Oil-on-Your-Hair-and-Skin,Sylvia,Needs editing,/tools/oils/vegetable-oils/coconut-oil
19,About oils,Tools,http://en.wikipedia.org/wiki/Essential_oil,Sylvia,Needs editing,/tools/oils/about-oils
